latitudeE7,longitudeE7,placeId,address,name,locationConfidence,calibratedProbability
534818449,-22363949,ChIJF7sSPr-xe0gRNc2jgIsSv2Y,"4 Oldham St, Manchester M1 1JQ, UK","The Crafty Pig, Manchester",43.82843,31.709196
534805152,-22379620,ChIJ4U9xgr-xe0gREtc8YTkl0HA,"Manchester M1 1AF, UK",Piccadilly Gardens,83.15363,76.059456
534570023,-22165686,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,49.590263,42.95042
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,86.52428,89.11127
534587243,-22269084,ChIJ7Sx5q4mxe0gRD50UIiEMjLE,"Wilmslow Park, Wilmslow Rd, Rusholme, Manchester M13 0JN, UK",Tesco Express,87.90972,68.87737
534575273,-22276711,ChIJCQF7uImxe0gRO_yP7Q9GwFA,"500 Moss Ln E, Rusholme, Manchester M14 4PL, UK",Ropemaker Court,71.18631,63.040924
534541667,-22241667,ChIJhV7_0ieye0gRB5MZFtsKW2Y,"145-151 Wilmslow Rd, Rusholme, Manchester M14 5AW, UK",Sanam Sweethouse & Restaurant,84.9384,66.68317
534575273,-22276711,ChIJCQF7uImxe0gRO_yP7Q9GwFA,"500 Moss Ln E, Rusholme, Manchester M14 4PL, UK",Ropemaker Court,91.025475,83.93086
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,54.09829,45.862625
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,82.041115,88.795494
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,70.14443,59.56017
534570023,-22165686,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,63.76488,51.76805
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,83.694084,90.60642
534751304,-22380814,ChIJjXWe1eqxe0gRX4vwRxEHe0U,"113, Manchester M1 6BD, UK",Asia House,59.427143,43.387093
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,64.89884,54.83692
534570023,-22165686,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,58.964394,48.409245
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,34.60795,15.038366
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,87.35634,89.30668
534575273,-22276711,ChIJCQF7uImxe0gRO_yP7Q9GwFA,"500 Moss Ln E, Rusholme, Manchester M14 4PL, UK",Ropemaker Court,54.08513,31.47159
534585285,-22268977,ChIJXQu7_4ixe0gRby8KOlQmmp4,"3-4 Wilmslow Rd, Rusholme, Manchester M13 9PD, UK",Lidl,92.6496,74.548546
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,63.43652,53.824406
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,52.289146,41.928024
534668498,-22338837,ChIJIaFhiI6xe0gRPPt-xlAzuXw,"Oxford Rd, Manchester M13 9PL, UK",The University of Manchester,89.78724,87.40972
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,49.09252,39.122288
534587243,-22269084,ChIJ7Sx5q4mxe0gRD50UIiEMjLE,"Wilmslow Park, Wilmslow Rd, Rusholme, Manchester M13 0JN, UK",Tesco Express,94.667694,87.98778
534570777,-22165689,ChIJTX4urICxe0gRmpsjzG-6vuU,"Hope Rd, Manchester M14 5ET, UK",,50.44399,40.012936
534570023,-22165686,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,54.983932,28.589918
534709891,-22939516,ChIJPcPNJz6ue0gRo-h8CWurwVo,"Salford, Manchester M50 3UB, UK",The Quays,90.07333,62.632496
534570023,-22165686,ChIJvWJir4Cxe0gRIsdNYmZiy-g,"2 Hope Rd, Manchester M14 5ET, UK",iQ Student Accommodation Manchester Gardens,70.69083,61.11216
534774166,-22311667,ChIJJ119P7FSekgRZCgb7kOayfA,"Greater, Piccadilly Station Approach, Manchester M60 7RA, UK",Manchester Piccadilly,97.19027,90.01129
530895485,-24336251,ChIJ99TeF1xfekgRMMm8MAsdt2c,"Nantwich Rd, Crewe CW2 6HR, UK",Crewe,97.73242,88.43406
521938765,-17080275,ChIJowf5nDPOcEgRaP8-uYVnEvg,"Henley St, Stratford-upon-Avon CV37 6QW, UK",Shakespeare's Birthplace,97.16541,85.785614
521905174,-17079902,ChIJTcoWZDLOcEgR5IuBcAnpiRA,"Church St, Stratford-upon-Avon CV37 6HB, UK",Shakespeare's Schoolroom & Guildhall,95.821365,86.12022
521907790,-17040499,ChIJU2KMP_u4cEgRMsEHq6pkdS0,"Waterside, Stratford-upon-Avon CV37 6BB, UK",Royal Shakespeare Theatre,97.75053,88.48606
521938765,-17080275,ChIJowf5nDPOcEgRaP8-uYVnEvg,"Henley St, Stratford-upon-Avon CV37 6QW, UK",Shakespeare's Birthplace,63.340355,28.35727
